Start_Date,End_Date,Start_Frequency,End_Frequency,Flare_Location,Flare_Region,Importance,CME_Date,CPA,width,isHalo,WidthLimit
2008-04-26 14:23:00,2008-04-26 14:39:00,7600,4900,N08E09,-----,B3.8,2008-04-26 14:30:00,65.0,281,False,
1998-03-29 03:40:00,1998-03-29 03:52:00,14000,7000,SW90,-----,,1998-03-29 03:48:00,,360,True,
1998-06-20 19:39:00,1998-06-20 20:00:00,2600,1800,BACK,-----,,1998-06-20 18:20:00,,360,True,
1998-11-06 03:00:00,1998-11-06 05:30:00,5000,1000,BACK,-----,,1998-11-06 02:18:00,159.0,>160,False,160.0
1998-11-07 00:20:00,1998-11-07 00:50:00,14000,6000,BACK,-----,,1998-11-07 01:54:00,296.0,19,False,
1999-04-24 13:50:00,1999-04-25 00:00:00,3700,100,NW90b,-----,,1999-04-24 13:31:00,,360,True,
1999-05-27 10:55:00,1999-05-28 10:00:00,14000,70,W90b,-----,,1999-05-27 11:06:00,,360,True,
1999-06-01 18:50:00,1999-06-02 09:00:00,14000,400,NW90b,-----,,1999-06-01 19:37:00,,360,True,
1999-06-23 05:50:00,1999-06-23 07:10:00,12000,2000,BACK,-----,,1999-06-23 06:06:00,264.0,>154,False,154.0
1999-09-10 07:30:00,1999-09-10 07:35:00,5500,2000,NW90b,-----,,1999-09-10 07:54:00,18.0,125,False,
1999-10-17 23:27:00,1999-10-17 23:33:00,11500,10000,N03E38,-----,,1999-10-18 00:06:00,40.0,87,False,
2000-04-18 15:00:00,2000-04-18 16:00:00,14000,6000,S50W30,altr,FILA,2000-04-18 14:54:00,195.0,105,False,
2000-05-07 21:15:00,2000-05-07 23:00:00,14000,500,W90b,-----,,2000-05-07 20:50:00,,360,True,
2000-05-12 23:34:00,2000-05-12 23:42:00,14000,7000,E90b,-----,,2000-05-12 23:26:00,,360,True,
2000-08-11 11:35:00,2000-08-11 11:59:00,2800,2000,NW90b,-----,,2000-08-11 07:31:00,273.0,70,False,
2000-09-12 18:15:00,2000-09-12 19:00:00,2000,1000,NE90b,-----,,2000-09-12 17:30:00,,360,True,
2000-11-25 19:55:00,2000-11-25 20:25:00,13000,4000,N20W27,9236,,2000-11-25 21:30:00,345.0,59,False,
2000-12-28 12:40:00,2000-12-28 13:38:00,14000,1900,Back,-----,,2000-12-28 12:06:00,,360,True,
2001-03-12 05:35:00,2001-03-12 05:45:00,3000,1500,BACK,-----,,2001-03-12 05:50:00,233.0,48,False,
2001-05-07 12:00:00,2001-05-07 13:50:00,2000,280,NW90b,-----,,2001-05-07 12:06:00,286.0,205,False,
2001-05-30 00:25:00,2001-05-30 01:38:00,14000,1000,E90b,9481,,2001-05-30 00:06:00,70.0,216,False,
2001-06-15 16:05:00,2001-06-15 16:20:00,14000,3500,W90b,-----,,2001-06-15 15:56:00,,360,True,
2001-08-16 00:10:00,2001-08-16 16:10:00,5400,150,Back,-----,,2001-08-15 23:54:00,,360,True,
2001-10-05 11:35:00,2001-10-05 12:55:00,1400,500,SW90b,-----,,2001-10-05 10:30:00,,360,True,
2001-10-09 11:20:00,2001-10-09 11:55:00,14000,2000,S28E08,9653,,,,----,True,
2001-10-09 13:10:00,2001-10-09 23:00:00,5000,50,BACK,-----,,,,----,True,
2001-12-11 12:45:00,2001-12-11 17:00:00,4500,750,SW90b,-----,,2001-12-11 09:54:00,263.0,121,False,
2001-12-25 11:25:00,2001-12-25 12:40:00,14000,1000,SE90b,-----,,2001-12-25 11:30:00,,360,True,
2001-12-29 20:45:00,2001-12-29 21:05:00,3000,1500,BACK,-----,,2001-12-29 20:30:00,297.0,>211,False,211.0
2002-01-08 18:30:00,2002-01-09 23:00:00,14000,90,NE90b,-----,,2002-01-08 17:54:00,,360,True,
2002-01-27 12:49:00,2002-01-27 13:25:00,14000,3000,Back?,-----,,2002-01-27 12:30:00,,360,True,
2002-02-01 19:23:00,2002-02-01 19:31:00,14000,11000,BACK,-----,,2002-02-01 19:54:00,350.0,89,False,
2002-04-30 22:30:00,2002-04-30 23:20:00,2000,500,W90b,-----,,2002-04-30 23:26:00,254.0,199,False,
2002-05-02 23:50:00,2002-05-03 00:10:00,2800,900,E90b,9937,,2002-05-02 23:18:00,119.0,99,False,
2002-07-09 19:46:00,2002-07-09 20:40:00,1000,650,W90b,-----,,2002-07-09 19:31:00,,360,True,
2002-07-19 16:40:00,2002-07-19 17:10:00,5000,1000,S15E90,-----,,2002-07-19 16:30:00,,360,True,
2002-07-29 12:10:00,2002-07-29 12:45:00,4200,1300,N10W15,FILA,,2002-07-29 12:07:00,13.0,>236,False,236.0
2002-10-27 23:06:00,2002-10-28 01:20:00,14000,300,SE90b,-----,,2002-10-27 23:18:00,,360,True,
2002-11-24 20:05:00,2002-11-24 20:45:00,14000,7000,N20E35,-----,,2002-11-24 20:30:00,,360,True,
2003-03-18 13:55:00,2003-03-18 14:10:00,14000,7000,S90b,-----,,2003-03-18 13:54:00,,360,True,
